worker_id,accuracy,positive_labels
A1Q04VG45LCARW,0.7328244274809159,140
A2WQOPD3IYLITQ,0.7242524916943521,140
AF1WAWGK3NIHN,0.725925925925926,74
A1OWM3QO7QAKBN,0.8268551236749117,140
A1Z268VWTV5HY0,0.7628865979381443,140
A1DKWZQE9XEMKC,0.7329545454545455,140
A1PBRKFHSF1OF8,0.7390029325513198,140
AHXHM1PQTRWIQ,0.723127035830619,140
A1J6B5XUULEITY,0.7173913043478262,140
AT8O683NZT0JA,0.7193675889328063,140
A3DW6U2L06GH0Q,0.8658536585365854,85
A3AK3UL0UCNVKE,0.8459016393442622,140
ARTQWWNFA7IOD,0.7619047619047619,106
A2EN7IXP9RG0O2,0.7272727272727273,140
AV5TLLCULVF0P,0.7987616099071206,140
A2MO3EE6D0P3KR,0.8027210884353742,77
A16U1L4R6WV5G2,0.7975830815709971,140
AIIHUC6DCPZAR,0.8153846153846155,72
AVOF14300525D,0.8053691275167785,63
A1UQ1OURMB9IRJ,0.7578947368421053,140
AD1ILDUXZHASF,0.732394366197183,72
APXNY64HXO08K,0.8413793103448276,140
A3SKEW89V5S0DI,0.8757396449704142,81
A26RIX88SGQT0S,0.8085106382978723,140
