sentence_id,word,pos,tag
1,Proven,NNP,O
1,ability,NN,O
1,to,TO,O
1,influence,VB,B-Skill
1,cross,JJ,I-Skill
1,functional,JJ,I-Skill
1,teams,NNS,I-Skill
1,and,CC,I-Skill
1,suppliers,NNS,I-Skill
1,.,.,O
2,Accepting,VBG,B-Skill
2,assigned,JJ,I-Skill
2,projects,NNS,I-Skill
2,as,IN,O
2,required,JJ,O
2,and,CC,O
2,work,NN,B-Skill
2,with,IN,I-Skill
2,other,JJ,I-Skill
2,divisions,NNS,I-Skill
2,to,TO,O
2,ensure,VB,O
2,their,PRP$,O
2,delivery,NN,O
2,.,.,O
3,Your,PRP$,O
3,key,JJ,O
3,responsibilities,NNS,O
3,will,MD,O
3,include,VB,O
3,managing,VBG,B-Skill
3,all,DT,I-Skill
3,aspects,NNS,I-Skill
3,of,IN,I-Skill
3,the,DT,I-Skill
3,kitchen,NN,I-Skill
3,during,IN,O
3,service,NN,O
3,;,:,O
3,taking,VBG,B-Skill
3,responsibility,NN,I-Skill
3,of,IN,I-Skill
3,the,DT,I-Skill
3,kitchen,NN,I-Skill
3,in,IN,O
3,the,DT,O
3,absence,NN,O
3,of,IN,O
3,the,DT,O
3,senior,JJ,B-Occupation
3,chefs,NNS,I-Occupation
3,;,:,O
3,ensuring,VBG,B-Skill
3,high,JJ,I-Skill
3,levels,NNS,I-Skill
3,of,IN,I-Skill
3,food,NN,I-Skill
3,quality,NN,I-Skill
3,are,VBP,O
3,attained,VBN,O
3,;,:,O
3,training,NN,B-Skill
3,and,CC,I-Skill
3,developing,VBG,I-Skill
3,new,JJ,I-Skill
3,members,NNS,I-Skill
3,of,IN,O
3,the,DT,O
3,brigade,NN,O
3,;,:,O
3,ensuring,VBG,B-Skill
3,health,NN,I-Skill
3,re,NN,O
3,looking,VBG,O
3,for,IN,O
3,:,:,O
3,The,DT,O
3,successful,JJ,O
3,candidate,NN,O
3,is,VBZ,O
3,likely,JJ,O
3,to,TO,O
3,come,VB,O
3,from,IN,O
3,either,CC,O
3,a,DT,O
3,branded,JJ,O
3,four,CD,B-Skill
3,or,CC,I-Skill
3,five,CD,I-Skill
3,star,JJ,I-Skill
3,hotel,NN,I-Skill
3,background,NN,O
3,",",",",O
3,or,CC,O
3,work,NN,O
3,in,IN,O
3,a,DT,O
3,quality,NN,O
3,restaurant,NN,O
3,renowned,VBD,O
3,for,IN,O
3,serving,VBG,B-Skill
3,high,JJ,I-Skill
3,quality,NN,I-Skill
3,food,NN,I-Skill
3,.,.,O
4,Analysis,NN,B-Skill
4,of,IN,I-Skill
4,the,DT,I-Skill
4,underlying,JJ,I-Skill
4,real,JJ,I-Skill
4,estate,NN,I-Skill
4,through,IN,I-Skill
4,to,TO,I-Skill
4,a,DT,I-Skill
4,net,JJ,I-Skill
4,investor,NN,I-Skill
4,position,NN,I-Skill
4,",",",",O
4,including,VBG,O
4,relevant,JJ,O
4,debt,NN,B-Skill
4,",",",",I-Skill
4,tax,NN,I-Skill
4,and,CC,I-Skill
4,fund,NN,I-Skill
4,flows,NNS,I-Skill
4,",",",",O
4,on,IN,O
4,a,DT,O
4,historic,JJ,B-Skill
4,and,CC,I-Skill
4,forecast,JJ,I-Skill
4,basis,NN,I-Skill
