worker_index,accuracy,positive_labels
0,0.7328244274809159,140
1,0.7242524916943521,140
2,0.725925925925926,74
3,0.8268551236749117,140
4,0.7628865979381443,140
5,0.7329545454545455,140
6,0.7390029325513198,140
7,0.723127035830619,140
8,0.7173913043478262,140
9,0.7193675889328063,140
10,0.8658536585365854,85
11,0.8459016393442622,140
12,0.7619047619047619,106
13,0.7272727272727273,140
14,0.7987616099071206,140
15,0.8027210884353742,77
16,0.7975830815709971,140
17,0.8153846153846155,72
18,0.8053691275167785,63
19,0.7578947368421053,140
20,0.732394366197183,72
21,0.8413793103448276,140
22,0.8757396449704142,81
23,0.8085106382978723,140
